Comment,Designator,Footprint,LCSC Part Number
100pf,C11,C_0402_1005Metric,C1546
1uf,"C12,C21",C_0402_1005Metric,C52923
820pf,C13,C_0402_1005Metric,C1543
4.7uf,"C14,C22,C1,C15,C16,C25,C23,C24",C_0402_1005Metric,C23733
1uF,C17,C_0402_1005Metric,C52923
47nF,C18,C_0402_1005Metric,C272875
1.5pF,C2,C_0402_1005Metric,C1552
12pF,"C20,C7,C6,C19",C_0402_1005Metric,C1547
100nf,"C5,C9,C3,C10",C_0402_1005Metric,C307331
1pF,"C8,C4",C_0402_1005Metric,C1550
ORANGE,D1,LED_0603_1608Metric,C434425
BLUE,D2,LED_0603_1608Metric,C72041
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
JST Battery,J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,
3.9nH,L1,L_0402_1005Metric,C14033
15nH,L2,L_0402_1005Metric,C27143
10uH,"L4,L3",L_0805_2012Metric,C1046
0,R1,R_0402_1005Metric,C25756
10k,"R2,R5,R4",R_0402_1005Metric,C25744
10M,R3,R_0402_1005Metric,C26082
5.1k,"R7,R6",R_0402_1005Metric,C25905
1k,R8,R_0402_1005Metric,C11702
Power Switch,SW1,switch_MSK-12C02_smd,C431541
Reset Switch Front,SW10,SW_SPST_TL3342,C2886894
Reset Switch Back,SW11,SW_SPST_TL3342,
nRF52840,U1,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,C190794
BQ24075RGT,U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C15464
XC6220B331MR,U3,SOT-23-5,C86534
32MHz xRCGB32M000F1H50R0,Y1,OSC_XRCGB32M000F1H50R0,C880116
 FC-12M,Y2,FC-12M 32.7680KA-A3,C99009
