Designator,Comment,Footprint,Mid X,Mid Y,Rotation,Layer
AE1,ANT,SWRA117D,23.739974,-19.431,0,top
C1,4.7uf,C_0402_1005Metric,60.497,-16,90,top
C2,1.5pF,C_0402_1005Metric,20.574,-24.003,0,top
C3,100nf,C_0402_1005Metric,61.513,-16,90,top
C4,1pF,C_0402_1005Metric,22.402982,-24.433916,90,top
C5,100nf,C_0402_1005Metric,62.765552,-15.994829,90,top
C6,12pF,C_0402_1005Metric,56.72,-23.5,180,top
C7,12pF,C_0402_1005Metric,58.5,-26.1,90,top
C8,1pF,C_0402_1005Metric,22.1,-27.18,-90,top
C9,100nf,C_0402_1005Metric,63.926,-15.972,90,top
C10,100nf,C_0402_1005Metric,66.3,-22.5,90,top
C11,100pf,C_0402_1005Metric,60.4,-25.7,0,top
C12,1uf,C_0402_1005Metric,65.196,-16,90,top
C13,820pf,C_0402_1005Metric,57.29,-20.3,90,top
C14,4.7uf,C_0402_1005Metric,59.1,-16,90,top
C15,4.7uf,C_0402_1005Metric,91.7,-21.4,0,top
C16,4.7uf,C_0402_1005Metric,77.250753,-21.2,0,top
C17,1uF,C_0402_1005Metric,57.1,-27.7,180,top
C18,47nF,C_0402_1005Metric,57.1,-28.8,180,top
C19,12pF,C_0402_1005Metric,65.8,-27.7,0,top
C20,12pF,C_0402_1005Metric,67.2,-24.7,0,top
C21,1uf,C_0402_1005Metric,69.630753,-21.2,0,top
C22,4.7uf,C_0402_1005Metric,80,-19.5,180,top
C23,4.7uf,C_0402_1005Metric,86.674,-24.375,90,top
C24,4.7uf,C_0402_1005Metric,85.574,-22.406,-90,top
C25,4.7uf,C_0402_1005Metric,84.2,-20.8,180,top
D1,ORANGE,LED_0603_1608Metric,88.9,-25.2,180,top
D2,BLUE,LED_0603_1608Metric,88.924,-26.925,180,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,73.602292,-15.39187,180,top
L1,3.9nH,L_0402_1005Metric,19.3,-26.7,0,top
L2,15nH,L_0402_1005Metric,58.1,-30,0,top
L3,10uH,L_0805_2012Metric,60.4,-28.9,90,top
L4,10uH,L_0805_2012Metric,67.3,-15.4,90,top
R1,0,R_0402_1005Metric,18.796,-24.511,-90,top
R2,10k,R_0402_1005Metric,85,-19.5,180,top
R3,10M,R_0402_1005Metric,80.2,-24.1,180,top
R4,10k,R_0402_1005Metric,84.574,-22.406,90,top
R5,10k,R_0402_1005Metric,88.5,-23.9,180,top
R6,5.1k,R_0402_1005Metric,74.964753,-21.664,-90,top
R7,5.1k,R_0402_1005Metric,71.9,-21.650049,-90,top
R8,1k,R_0402_1005Metric,86.174,-26.925,180,top
SW1,Power Switch,switch_MSK-12C02_smd,87.3,-15.1375,-90,top
SW2,A,CherryMX_Choc_1u_reversible,47.392974,-55.372,0,top
SW3,E,CherryMX_Choc_1u_reversible,87.747974,-36.442,0,top
SW4,R,CherryMX_Choc_1u_reversible,67.427974,-33.902,0,top
SW5,Y,CherryMX_Choc_1u_reversible,47.392974,-35.172,0,top
SW6,T,CherryMX_Choc_1u_reversible,27.192974,-38.982,0,top
SW7,I,CherryMX_Choc_1u_reversible,87.747974,-56.642,0,top
SW8,S,CherryMX_Choc_1u_reversible,67.427974,-54.102,0,top
SW9,0,CherryMX_Choc_1u_reversible,27.192974,-59.182,0,top
SW11,Reset Switch Back,SW_SPST_TL3342,42.926,-19.558,180,top
U1,nRF52840,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,61.7915,-21.2875,180,top
U2,BQ24075RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,88.246,-21.155,0,top
U3,XC6220B331MR,SOT-23-5,81.1,-21.8,0,top
Y1,32MHz xRCGB32M000F1H50R0,OSC_XRCGB32M000F1H50R0,56.8,-25.328,0,top
Y2, FC-12M,FC-12M 32.7680KA-A3,66.3,-26.2,180,top
